class_id,class_name,support,predicted,precision,recall,f1
239,Hold ruler,0,0,0.0,0.0,0.0
240,Walking in the workspace,0,0,0.0,0.0,0.0
241,Walk through workspace,0,0,0.0,0.0,0.0
242,Insert charging cable into power bank,0,1,0.0,0.0,0.0
243,Manipulate and inspect colorful pieces,0,0,0.0,0.0,0.0
244,Manipulate colorful pieces,0,0,0.0,0.0,0.0
245,Sort colorful pieces,0,0,0.0,0.0,0.0
246,Hold power bank and cable,0,0,0.0,0.0,0.0
247,Touch pieces in box,0,0,0.0,0.0,0.0
248,Interact with colleagues,0,0,0.0,0.0,0.0
249,Hold small white box,0,0,0.0,0.0,0.0
250,Place white box on table,0,0,0.0,0.0,0.0
251,Adjust smartphone and sort pieces,0,0,0.0,0.0,0.0
252,Sort small colorful pieces,0,2,0.0,0.0,0.0
253,Sorting colorful paper pieces,0,0,0.0,0.0,0.0
254,Manipulate paper piece,0,0,0.0,0.0,0.0
255,Use phone to check instructions,0,23,0.0,0.0,0.0
256,Trace pattern on cardboard,0,4,0.0,0.0,0.0
257,Remove cardboard pattern,0,7,0.0,0.0,0.0
258,Remove cardboard pattern piece,0,3,0.0,0.0,0.0
259,Cut out cardboard pattern,0,8,0.0,0.0,0.0
260,Cut cardboard pattern,0,4,0.0,0.0,0.0
261,Adjust cardboard position,0,2,0.0,0.0,0.0
262,Interact with smartphone screen,0,1,0.0,0.0,0.0
263,Pick up metal ruler,0,0,0.0,0.0,0.0
264,Pick up pen,14,0,0.0,0.0,0.0
265,Move pen aside,0,3,0.0,0.0,0.0
266,Reposition and cut,0,0,0.0,0.0,0.0
267,Hold quilling paper,0,0,0.0,0.0,0.0
268,Roll quilling paper,0,0,0.0,0.0,0.0
269,Hold quilled paper coil,0,1,0.0,0.0,0.0
270,Release paper coil,0,5,0.0,0.0,0.0
271,Pick up paper strip,0,2,0.0,0.0,0.0
272,Manipulate quilled paper strip,0,0,0.0,0.0,0.0
273,Release and prepare new strip,0,1,0.0,0.0,0.0
274,Manipulate small paper segment,0,0,0.0,0.0,0.0
275,Place down paper segment,0,4,0.0,0.0,0.0
276,Reach for paper strips,0,5,0.0,0.0,0.0
277,Place item into bag,0,0,0.0,0.0,0.0
278,Browse and interact with phone interface,0,1,0.0,0.0,0.0
279,Interacting with phone screen,0,10,0.0,0.0,0.0
280,Pick up light blue strip,0,0,0.0,0.0,0.0
281,Inspect strip,0,1,0.0,0.0,0.0
282,Manipulate light blue strip,0,1,0.0,0.0,0.0
283,Cut cardboard tube,0,6,0.0,0.0,0.0
284,Place scissors aside,0,0,0.0,0.0,0.0
285,Stacking cardboard pieces,0,7,0.0,0.0,0.0
286,Moving hand towards cardboard stack,0,1,0.0,0.0,0.0
287,Moving hand,0,1,0.0,0.0,0.0
288,Position cardboard for cutting,0,0,0.0,0.0,0.0
289,Put down water bottle,0,3,0.0,0.0,0.0
290,Pick up cardboard piece,0,0,0.0,0.0,0.0
291,Cut cardboard piece with scissors,0,0,0.0,0.0,0.0
292,Release cardboard piece,0,2,0.0,0.0,0.0
